ユーザーネーム,テキスト,URL,日付
御影ステア,就職辛い早く辞めたい🥺,https://Twitter.com/SteerX_S27/status/1467516041299623941,2021-12-06
る～🥺,嫌だ嫌だ就職したくない,https://Twitter.com/rururunaniyue/status/1467497320870977537,2021-12-06
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1467379220792082437,2021-12-06
ねこまる,"就職とか無理だろうなこんな奴…
できたとしてもクソみたいなところしか無理そう",https://Twitter.com/nekomaru_ne/status/1467375996441853953,2021-12-06
ぱんのき🥞多忙,ちゃんと東京就職できるか不安だなあああああ😥,https://Twitter.com/Aaaapon0999/status/1467365938899320834,2021-12-06
mol,"去年の年末は就活に対する不安
今年の年末は就職に対する不安
来年の年末はきっと終活に対する不安が来る。",https://Twitter.com/yiqidayimiao/status/1467298760677937153,2021-12-06
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1467564988894420992,2021-12-06
地方困窮大学生@23卒,就活。難しい。何をしていいかわからない。,https://Twitter.com/syuu_uuukatu/status/1467556014312796160,2021-12-06
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1467550796623773696,2021-12-06
あ き 🍀,就活嫌だなー,https://Twitter.com/squl_/status/1467541521352527872,2021-12-06
ead,"就活ってなんでこんな大変なの？？
わかってるけど分かりたくない",https://Twitter.com/ka_12guk_ye/status/1467537939043610624,2021-12-06
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1467501188832960512,2021-12-06
あおのり,就活いやじゃなぁ,https://Twitter.com/MVmyw/status/1467491859702648833,2021-12-06
らら,なんせちょっと就活かじって辞めたからそこに対する不安がやばい🥲🥲,https://Twitter.com/ZYorl7/status/1467487975412240388,2021-12-06
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1467477151020883971,2021-12-06
怜紺,就活やだなあ,https://Twitter.com/_LENKON/status/1467430903874203649,2021-12-06
Ri⊿,"面接しんどすぎた
就活いやだーー",https://Twitter.com/RixPerfume/status/1467394699095068678,2021-12-06
就活イレブン,就活が辛いなら、辛いのごと楽しめばいいんだ！,https://Twitter.com/syuukatu_eleven/status/1467390520226095111,2021-12-06
オサゲ,就活何も始めてないの絶対にやばいよなーあー鬱,https://Twitter.com/grmy_dm/status/1467346959120072710,2021-12-06
なめこ-6万,就活嫌だあああ,https://Twitter.com/namecodama/status/1467327933270597634,2021-12-06
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1467306373910511616,2021-12-06
あぼかど,エントリーシート無理すぎて吐きそう,https://Twitter.com/_abokadoo/status/1467531858221371392,2021-12-06
Akira,エントリーシート書くの難しい。,https://Twitter.com/akirainvest/status/1467418792406167558,2021-12-06
たまのすけ@たまたま,面接練習やだなー,https://Twitter.com/igcyugcfdhhffv/status/1467624768791023616,2021-12-06
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1467572053394214913,2021-12-06
子ども.zip🌙,明日の面接について考えています、助けてください,https://Twitter.com/notamahv_20/status/1467544857602592769,2021-12-06
sa__🧊🧊,今日、校長面接あるんだけど、やばいどうしよ、むりだぁぁぁぁあ！！！！！やだやだやだ,https://Twitter.com/sa__45110/status/1467526948280999936,2021-12-06
て あ@お迎え中,面接難しいヨ,https://Twitter.com/_164cm_O422/status/1467496339139608577,2021-12-06
大天使鈴瑚うさちゃん💫👯🎣🍃😈✝,明日ぐらいには面接の結果分かるかな？,https://Twitter.com/LeeZa99678563/status/1467491449336135690,2021-12-06
♡♥,自己分析鬼難しくて詰まってる………明日面接の練習なのに………やばい,https://Twitter.com/9mkr_/status/1467478499644833792,2021-12-06
みぞれ🕶@🦔✿,面接のあのやつ書いてない。めんどい,https://Twitter.com/aaao_x_x_x/status/1467476690758938629,2021-12-06
Ninopatkin,明日の面接が不安で仕方ないのだ・・・,https://Twitter.com/nino_1991_jp/status/1467475461051908099,2021-12-06
クソザコなっとー,面接やだなあ,https://Twitter.com/yulnya/status/1467463495918977024,2021-12-06
最寄りST02,面接辛いよ〜〜〜,https://Twitter.com/moyori_ST02/status/1467452759427645442,2021-12-06
伞食べたい,わーもー面接よくわかんない,https://Twitter.com/enamimi_/status/1467447313102929920,2021-12-06
100日後に就活終わらせる就活生@23卒,人生初の2次面接なんですが不安です,https://Twitter.com/r24zakky/status/1467446251960832000,2021-12-06
光音/koune,陰キャの俺に面接などできるのであろうか…不安しかねぇｗ,https://Twitter.com/koune61/status/1467424260558057475,2021-12-06
さいおんじ,面接紙に書くだけだった,https://Twitter.com/Lpamu__/status/1467378881405816834,2021-12-06
yout(ゆーと),面接どうなるんや。。わからん過ぎて、しんどい,https://Twitter.com/0725_tmt/status/1467360207718457347,2021-12-06
ゆずこ,あーーんやだやだやだやだやだやだ面接やだなんにも考えてないよ！！！！！！,https://Twitter.com/yzu__aim/status/1467321732952657921,2021-12-06
発達障害のAHイさんbot,"やっぱり面接は苦手なのだ
鬱なのだ",https://Twitter.com/ADHDaraibot/status/1467320034175635461,2021-12-06
𝓗𝓲𝔂𝓸☽ﾟ･*,面接苦手で無理だけど！！,https://Twitter.com/llHiyoNeko22ll/status/1467304703117897728,2021-12-06
鬱な就活生bot,数十分の面接で俺の何がわかるの,https://Twitter.com/fuckin_shukatsu/status/1467283696038608897,2021-12-06
ニク@23卒,"今日
・インターン
・ES×4",https://Twitter.com/niq_cs/status/1467552043749744640,2021-12-06
えびてん,インターン調べてもなんも分からんーーーー,https://Twitter.com/01eBy11/status/1467484897896198145,2021-12-06
