ユーザーネーム,テキスト,URL,日付
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1476337387316084738,2021-12-30
akihiko narita,私は就職の仕方がよくわからないのですよ。,https://Twitter.com/akihiko_narita/status/1476166288846524424,2021-12-30
もみじ🍁💜,"今更就職先めっちゃ悩んでる
うーむうーむ
誰かに相談したいが誰にすればいいんだろうか()",https://Twitter.com/Fiona_11b/status/1476091524144594946,2021-12-30
府大高専_bot,Aに進んでも就職先がそんなになくてみんな悩む,https://Twitter.com/OPUCT_bot/status/1476046269231800321,2021-12-30
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1476292533785620480,2021-12-30
まる,就活しんどい,https://Twitter.com/h_____03maru/status/1476151276660719621,2021-12-30
あるほ〜す,就活が不安で年末年始が無。,https://Twitter.com/Re_Reno_/status/1476144601459490817,2021-12-30
ゆな,う〜〜就活しんどい！,https://Twitter.com/yuna_567/status/1476077247211905024,2021-12-30
d ‾Δ‾ b,就活何もわからん,https://Twitter.com/hamarobo_/status/1476045206856564736,2021-12-30
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1476021692325523458,2021-12-30
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1476003497246359552,2021-12-30
篠原,エントリーシートむずい,https://Twitter.com/key7eddandflow/status/1476192876992544772,2021-12-30
シンゴ,エントリーシート書けや笑💢,https://Twitter.com/4I007/status/1476160350999703553,2021-12-30
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1476239165687988226,2021-12-30
🥪もぉぉん🍞,明日(今日)面接なのでやばい,https://Twitter.com/Mooon_Mohuo/status/1476210299330244610,2021-12-30
ふじちゃ,web面接、ずっとよくわからないまま今年を終える,https://Twitter.com/obbayaaaaaaaaaa/status/1476074326395072514,2021-12-30
:),面接やはり辛い,https://Twitter.com/tankeshi0831/status/1475992094762504205,2021-12-30
