ユーザーネーム,テキスト,URL,日付
嵯峨,就職とか一生むり,https://Twitter.com/Saga819_/status/1448790491038773266,2021-10-15
愚者,就職って難しいね,https://Twitter.com/l0_liixx49/status/1448700953717186561,2021-10-15
ウォーター!!,就職やだ,https://Twitter.com/water_0016/status/1448694176879550476,2021-10-15
えんがわ,株式会社無理なもんは無理に就職します。,https://Twitter.com/Engaaaaaaaawa11/status/1448678195478216704,2021-10-15
てり,ニューゲーム読んでちゃんと就職できるか不安になるのなんか、、,https://Twitter.com/te_ri_k/status/1448663175918800903,2021-10-15
特務作戦群,"ううう・・・気分が・・・

就職への不安か・・・",https://Twitter.com/eLLsAZdWLM4p1Bq/status/1448640781867098120,2021-10-15
ほくろ人間,一生就職できん無理,https://Twitter.com/hokuroningen/status/1448613503716134916,2021-10-15
たけにい❄️💜🌂,"就職は東京かなぁ
嫌じゃ",https://Twitter.com/take2_gbf/status/1448608161091362822,2021-10-15
なべ。🐶,あーいい就職先ないかなあ,https://Twitter.com/dc_yhgh/status/1448608044632338444,2021-10-15
イッケ,マジでいいところに就職できるっぽい（又聞き）ので頑張ってほしいね,https://Twitter.com/ohagiyoukan0141/status/1448607178319745028,2021-10-15
すぅ,誰か友達の就職祝い何あげたらいいか教えて,https://Twitter.com/suu_tamaa/status/1448604297529233410,2021-10-15
と,まじで就職できない,https://Twitter.com/tkdsin2019/status/1448569125882654722,2021-10-15
美汗,就職やだなぁ,https://Twitter.com/MIKANCHANDAUU/status/1448567603836776452,2021-10-15
ぢょご,まじで就職どこでしよう,https://Twitter.com/syokora_chan/status/1448527175754272771,2021-10-15
りの,みんな就職ほんと悩むよね😇,https://Twitter.com/EuphTuba_kitty/status/1448523702325313538,2021-10-15
てり,将来ちゃんと就職できるか不安になってきた,https://Twitter.com/te_ri_k/status/1448521233083998210,2021-10-15
ときらあ🗿,将来就職できんのかなとか考えはじめると猛烈な不安に襲われる,https://Twitter.com/Tokiobeibe/status/1448497836258041856,2021-10-15
わちこ🥦,"あー
サクッと就職できるなんてことは無いのか",https://Twitter.com/wachico_solo/status/1448491867088187395,2021-10-15
ネトスト雑魚,早く就職するぞ(T ^ T)でも焦らないで,https://Twitter.com/akubi_gaman/status/1448441645435801600,2021-10-15
みけねこいろ（仮）,就職できるのかなぁ…(いちばんの不安),https://Twitter.com/nukosuzu/status/1448438664002867202,2021-10-15
メンタル弱助,就活無理すぎ,https://Twitter.com/mental_yowasuke/status/1448797760170258438,2021-10-15
気分屋,"しんどいな
まじで
選んだ自分が悪いけど
でも、就活もしんどいし
逃げたかったよ",https://Twitter.com/kby_ds/status/1448784496153677825,2021-10-15
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1448758537622937604,2021-10-15
ダメな就活生bot,"志望動機が思いつかない
#就活",https://Twitter.com/bbbot13/status/1448747907079827477,2021-10-15
ダメな就活生bot,"やばい間に合わない！！
#就活",https://Twitter.com/bbbot13/status/1448732806964670474,2021-10-15
ふかみはし,宇佐見菫子が就活できるなら俺もできる。,https://Twitter.com/FukamiBridgeE/status/1448710158939418625,2021-10-15
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1448709796484378627,2021-10-15
赤井ジン,就活課題しんど,https://Twitter.com/mujitu_jin/status/1448706806167965697,2021-10-15
あとに男,就活ってこんなに難しいものなのか？あと2年は準備期間が欲しい,https://Twitter.com/sasasa_usagi/status/1448704982308429824,2021-10-15
♗鰯の塩焼き♗,就活無理wwwwwwwwwwwwwwwwwwwwwwwwwww,https://Twitter.com/EnDnhU4Mj1KfEQZ/status/1448672294348341249,2021-10-15
鬱だ…死のうbot,就活…鬱だ…死のう,https://Twitter.com/utsu_shino_bot/status/1448671377951584259,2021-10-15
みつ🐰💕,就活めっちゃつらい,https://Twitter.com/ikorabu_nogi46/status/1448666065081229312,2021-10-15
ノリスケ2nd,就活しようかな,https://Twitter.com/55norisukeman/status/1448655969953538066,2021-10-15
m,就活してるから病んでるのか,https://Twitter.com/L6nSrf/status/1448654131426517005,2021-10-15
ゆきみ@23卒就活垢作った,今日は何しようかな #23卒 #就活,https://Twitter.com/yuuuumiki0422/status/1448652001047244801,2021-10-15
坂本,就活何も進んでなくて焦る,https://Twitter.com/ohdywyw/status/1448645598563897351,2021-10-15
内定くれ,つらい就活生つらいわかる就活金ない #SUPERRICH,https://Twitter.com/televi_queen/status/1448641699069054976,2021-10-15
はまを,"嫌だ嫌だマジで嫌だ
就活とか絶対無理だし国試も無理だし臨地実習も無視だしそもそも卒業出来るのかむしろ進学すらできるかも分からんし考えたくない考えたくない",https://Twitter.com/Hamawo_tofu/status/1448640621489451011,2021-10-15
dino,就活そんなやばいんだ,https://Twitter.com/mpk_dino/status/1448638759243685896,2021-10-15
葉月つづら,五億年ぶりにES書いてる この会社しかもう書かねーからな(就活鬱に片足突っ込んでた人),https://Twitter.com/haduki_000/status/1448637336976191498,2021-10-15
みぃ,最近就活に関して悩みすぎてやばい🥺,https://Twitter.com/re___n0123o0/status/1448632813461200902,2021-10-15
momoka,就活が不安なの、私だけじゃない気がする,https://Twitter.com/bookart_meiji/status/1448631142534430726,2021-10-15
あき,就活が鬱,https://Twitter.com/_usaki4/status/1448618111754670080,2021-10-15
Azu🥖譌･譛ｬ隱槫級蠑ｷ荳ｭ,就活←意味がわからない,https://Twitter.com/AzuazuPretty/status/1448618054997270530,2021-10-15
さあ🧈🥞,就活も国試も全部全部クソしんどい。もう嫌だ。何も成し遂げとらんけどすでにしんどいんじゃ,https://Twitter.com/hq_tk_kk_love/status/1448615867529379840,2021-10-15
たたた,就活 無理,https://Twitter.com/miaow_nyaao/status/1448602269289570304,2021-10-15
ノスケ@22卒,就活しようか,https://Twitter.com/nosuke22_desu/status/1448600435271495680,2021-10-15
むらさきちゃん,吃音辛い就活辞めたい,https://Twitter.com/puipuipink/status/1448585084412383234,2021-10-15
なつは,やだなあ就活,https://Twitter.com/natyuhachan/status/1448564230513299460,2021-10-15
',あー無理生きるの嫌だ就活も嫌だ,https://Twitter.com/___xxxxxxr/status/1448553409557135360,2021-10-15
じぇこ,いや働くのはいいけど就活が嫌,https://Twitter.com/vvbs_jyeko/status/1448552783422967810,2021-10-15
さとそう🌨,"就活ってどうやるんですか。
何も分からなすぎてやばい。",https://Twitter.com/Satosou__1215/status/1448532209019736065,2021-10-15
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1448519903225335808,2021-10-15
かるこ,就活が嫌,https://Twitter.com/jokiaimy/status/1448513826580615170,2021-10-15
蛍,就活もうどこにすればいいか全然わかんない…詰んでる,https://Twitter.com/yumehu0728/status/1448507946908852225,2021-10-15
れい,就活の不安しかない,https://Twitter.com/Lai4989/status/1448498974759870467,2021-10-15
菖,もう就活やだ,https://Twitter.com/nfam_07/status/1448493196367912968,2021-10-15
寝よう,誰か私を養って来年就活無理だよ,https://Twitter.com/nete7_/status/1448490492182753280,2021-10-15
ma,マジで就活がめんどくさい,https://Twitter.com/ma11191609/status/1448480598977175565,2021-10-15
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1448462046303961090,2021-10-15
まる,就活だるすぎ,https://Twitter.com/ROz8LbPHjIWutq0/status/1448459080368988161,2021-10-15
あすぴ★23卒 Stella Point(CSO),"最近就活以外にもやることが多くて、自分の就活できてるのか不安になる🥺

とにかく、ES仕上がっていないのが問題。🥲",https://Twitter.com/asupiii_Stella/status/1448453399599452169,2021-10-15
七篠権兵衛︎,小学生でも書けるエントリーシート書いたわ,https://Twitter.com/muscle_plz/status/1448664564715778048,2021-10-15
🖤あゆみ@りこぴん💚,"自己PR全然思いつかないので誰かアドバイスください
私のいい所、エントリーシートにかけるような事もあれば是非に",https://Twitter.com/AAAAA_SYN/status/1448643697134825479,2021-10-15
ﾐｽﾞｷ,難しくとも書くしかない、エントリーシート。,https://Twitter.com/sattva58/status/1448523363417157633,2021-10-15
マンドらごら@はじっこに生息中,昨日の一社目の面接でハートボッコボコにされたから、朝からつらい。自分にはなにもないことなんて、自分が一番わかってんだよ……,https://Twitter.com/zousi000/status/1448798382902767644,2021-10-15
あ ちｬﾝ,誕生日の日に面接はつらみ,https://Twitter.com/Ua_aU_chan_dayo/status/1448795064214253568,2021-10-15
こここ,"明日の入試やばい…
面接苦手なんだよなぁ",https://Twitter.com/92910morning57/status/1448788451550064648,2021-10-15
推薦入試心境あるあるbot,"面接まじで
なに話したらいいかわからん",https://Twitter.com/suisenaruaru/status/1448788268091281409,2021-10-15
虹芝,面接、嫌すぎ,https://Twitter.com/niko_ks28/status/1448783810242383875,2021-10-15
👑愛城Takuya✨🍥,面接明日じゃんやばすぎ,https://Twitter.com/TakuyaDMDBch/status/1448773493311492099,2021-10-15
ℋ𝒾𝓀𝒶𝓇𝓊,どうしよう今日面接だ死にそう😭,https://Twitter.com/_kalimtyan_/status/1448770526881595430,2021-10-15
珍歩田ペニ丸ーSOUL編ー,面接嫌すぎて吐きそうだけどこれから死ぬほどやんなきゃいけんのよな。吐く。,https://Twitter.com/nuttyobasan/status/1448710787787149312,2021-10-15
nntここにいます@22卒,今さら面接不安,https://Twitter.com/22nnt__kokodayo/status/1448692946249785365,2021-10-15
やみおくん🧟‍♂️🐎,やばい...いよいよ面接明日やん,https://Twitter.com/YaMi1_youtube/status/1448690902407417860,2021-10-15
キクゾウ,あー今日面接やだなー😭,https://Twitter.com/1ZKVbHHLz6xt07h/status/1448680900460310530,2021-10-15
あい,疲れた。面接練習難しい。,https://Twitter.com/take2_sann/status/1448673847247396871,2021-10-15
mmkk0303,面接するのって難しい🤔,https://Twitter.com/mmkk0303753/status/1448671356279681029,2021-10-15
雅藤大佐,模擬面接はともかくES添削って何…？,https://Twitter.com/Colonel_GTU/status/1448669386051518471,2021-10-15
拓海,面接まじ苦手,https://Twitter.com/takumi_sc26/status/1448661026434473991,2021-10-15
𝐡𝐨𝐧𝐨.,志望動機考えないと、、来週から面接練習だ,https://Twitter.com/luv___trt79/status/1448660639182835727,2021-10-15
あびす👈🏻,"土曜進学先の面接なのに練習あんまりしてない
不安だなあ",https://Twitter.com/MR_Abyss__/status/1448660471867871237,2021-10-15
舞姫*みやな⚡︎,あーーーーー面接前にだれかにあいたいいいい,https://Twitter.com/sakura_4696160/status/1448655909413031944,2021-10-15
だいき,11月の面接ばりきつい,https://Twitter.com/Daiki_blackknig/status/1448652868433563651,2021-10-15
えりか,来週の面接落ちたら、いよいよどうしたらいいかわからない,https://Twitter.com/ckx4j/status/1448651031626223630,2021-10-15
🍼和狸ぽん🍓,小論文わからんし面接も不安( ´•̥̥̥ω•̥̥̥`),https://Twitter.com/sorashid/status/1448649324720635914,2021-10-15
のざか、,えーーーーーーーん6:1なんて圧迫面接もいいとこやもーーーーーーん嫌すぎるえーーーーーん,https://Twitter.com/puputan1857/status/1448642713876787209,2021-10-15
𝙸𝚔𝚞𝚛𝚊 🔴slow,模擬面接で吐きそうになってるので誰か助けて下さい(しっかりしろ),https://Twitter.com/__12xxx24/status/1448642486453223424,2021-10-15
すめらぎ@例大祭た23a,"明日面接
なんも思いつかんつらい
しにそう",https://Twitter.com/jingujisumeragi/status/1448640237547122690,2021-10-15
すけたろー,明日朝から面接練習やだなー怖いなー,https://Twitter.com/suketaro1231/status/1448634573978411015,2021-10-15
ユウヤ,面接のコツを教えてくれ…,https://Twitter.com/super_yuya_Z/status/1448632642790850561,2021-10-15
ぺそ☕️,面接練習怖いなり,https://Twitter.com/reona_mira/status/1448632259041316866,2021-10-15
ゆう,明日…面接…つらい…,https://Twitter.com/YU_HPMI_MTC/status/1448631740541509639,2021-10-15
ᐡˊﻌˋᐡ,面接前に掲示板見ちゃダメなの分かってるんだけどな〜^^;,https://Twitter.com/pNKENchjW2D3rKw/status/1448630496989122562,2021-10-15
キュアドリーム@ゆるか,"助けてください〜〜😭😭😭
もう面接怖くて何も出来ない〜😭😭",https://Twitter.com/yurukadesu/status/1448630487627362304,2021-10-15
しゅうまい,面接の結果は来週わかるらしい,https://Twitter.com/siumai1302/status/1448630230696947718,2021-10-15
19卒ねえさん,面接対策しないと、、,https://Twitter.com/t3CNg3V6ZJXN8yy/status/1448629493069844483,2021-10-15
絵梨花,明日面接なの病みそう,https://Twitter.com/iE07PtcW6LXLct8/status/1448626395110801409,2021-10-15
ぼすこ,今回分かったのは面接そのものより面接の前日が心配で辛いっていうことですね…,https://Twitter.com/bosscco/status/1448620851759177728,2021-10-15
れもんのはっぱ🐖,面接資料の書き方誰かガチで教えてください,https://Twitter.com/R_frappe_chiino/status/1448612208825417731,2021-10-15
らる,"面接も小論も辛すぎて無理
もう心折れる",https://Twitter.com/VajxBg52g0maIvj/status/1448606875436544004,2021-10-15
𝐤𝐨𝐤𝐨,面接練習もうボロボロすぎて明後日の試験不安でしかない。。。,https://Twitter.com/Shioon_n/status/1448606828208680965,2021-10-15
ニート歴7ヶ月目突入,面接苦手。その前に人間が苦手。,https://Twitter.com/neeeeeetda/status/1448605432000385027,2021-10-15
どんぐり,面接、どこかわからん,https://Twitter.com/cisum_em/status/1448601573894995969,2021-10-15
あき,ミスIDオンライン面接に進まさせていただきます。面接は苦手で何を話せばいいのだろうかと不安なのですが、今は喜びをいっぱい噛み締めます！,https://Twitter.com/akichandeth/status/1448600606160003076,2021-10-15
茶染,明日面接！こわいよーこわいよー,https://Twitter.com/minnadesashimi/status/1448599608993538052,2021-10-15
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1448591991911055363,2021-10-15
taco,一ミリも興味のないとこの面接が嫌すぎる,https://Twitter.com/tacotaro9/status/1448587148848893956,2021-10-15
おむげーまー,"面接無理すぎて無理
言うこと覚えられんし、ぱあんってなるしんどい
無理な気しかしない……もうやだ～～～",https://Twitter.com/siomugame/status/1448584703406010370,2021-10-15
田中ルーちん🍅🍅,また面接落ちたのしんどすぎ,https://Twitter.com/touhu1530/status/1448579769390432256,2021-10-15
마오,"面接どれだけきついの😖
いつも涙出そう",https://Twitter.com/_mao03_jun96_/status/1448579160897581056,2021-10-15
五厘くん,面接落ちるのつらいなぁ,https://Twitter.com/spine_11/status/1448577074231349253,2021-10-15
ぽぴな,面接やばすぎて死ぬ,https://Twitter.com/k__sjyu0/status/1448575882197495811,2021-10-15
あられ,"ダメでしたね面接
や～～～
や～～～だ～～～わ～～～
ゆるゆると絞めるのやめてほしい
🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺",https://Twitter.com/otya_7918/status/1448575009723613187,2021-10-15
ジェダイマスター モアシーリアン,5対1の面接は辛いなぁ,https://Twitter.com/aN5Z5jGbBvVmYlT/status/1448574865867362311,2021-10-15
初、@......,面接対策だるすぎ,https://Twitter.com/hatu1616/status/1448571263757078528,2021-10-15
ちぬふ,入試の面接に不安しかない。こわ,https://Twitter.com/tinu2__/status/1448570873993043969,2021-10-15
🕰亡霊🕰,面接嫌だーっ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！（来週。）,https://Twitter.com/f_le_/status/1448569732349583362,2021-10-15
米,"2番目に面接
面談1番嫌",https://Twitter.com/_tanaka_of_/status/1448565763250421763,2021-10-15
Saku@23卒,ESはそこそこ書いた気がするけど、SPIとか面接はまだ全然わからない…！,https://Twitter.com/untilCseason/status/1448557565835579395,2021-10-15
むとと,面接練習つらすぎ...,https://Twitter.com/BWld9MROTw7dVVH/status/1448554648600604675,2021-10-15
きゃべつ,面接の志望理由の構成がわからん！,https://Twitter.com/Yasaiburger1027/status/1448548096388919301,2021-10-15
すず羊羹,面接練習まじでわからん…めちゃめちゃどもる,https://Twitter.com/suzumaro_yokan/status/1448546917290446852,2021-10-15
妖精,明日模擬面接なんだけどー模擬面接さえも無理ンゴ( ᐛ )ﾊﾟｧ,https://Twitter.com/ISDD1h8lP0AfFme/status/1448544623945666564,2021-10-15
T◎−BUN,面接でこういうことを聞きますって教えてくれないかな…………無理だよ…………,https://Twitter.com/hankenama/status/1448541995488612353,2021-10-15
ツインエンジェルPARTYを毎日打ちたい。,面接やだね〜,https://Twitter.com/k0hak0ha/status/1448537192867893249,2021-10-15
むと,面接練習きつ,https://Twitter.com/muto_crew/status/1448535521760739328,2021-10-15
夏のソラ👑,明日面接だー。しんどい,https://Twitter.com/natu_kage3/status/1448530386447785989,2021-10-15
ゃこ,零式と明日の面接と自分の将来の不安でキャパオーバーです　おわってゆきます,https://Twitter.com/ACHAC0/status/1448530319674515456,2021-10-15
ねむ,面接無理すぎる,https://Twitter.com/nemu3664/status/1448527688499560449,2021-10-15
すか🍜（てゃ）,ぐぬーーしんどい、、、面接こわいな、、、,https://Twitter.com/uoxou_ty/status/1448525109606567944,2021-10-15
🍑うめは今月クレカ使わない🌼,面接だめだめだァ,https://Twitter.com/EqualLove_skp/status/1448522753800241152,2021-10-15
しふす,ワクチンも不安だけど面接結果も不安になってきた,https://Twitter.com/Uyou_Kanon/status/1448519886766886931,2021-10-15
はぶあめっ,面接ぼっけ焦った笑,https://Twitter.com/xxxhubame/status/1448518534003265538,2021-10-15
神奈川のかつどん(ﾐﾂﾅﾘ),面接練習辛い,https://Twitter.com/NJ1874_1874/status/1448506730908774403,2021-10-15
及川,来週面接3つ💪やだーーー,https://Twitter.com/KAriverWA/status/1448500324805668876,2021-10-15
なえちゃ,面接って難しいな,https://Twitter.com/cnl_k9/status/1448496852265881605,2021-10-15
シーラカンスぱお,面接…まじ無理🥺ྀི,https://Twitter.com/sirakansu_pao/status/1448496232444293121,2021-10-15
Gonzalez@超エンジョイ勢,"ダメだ〜！
面接行ったところ100時間残業あるとか今より辛いやん！
無理無理",https://Twitter.com/gonzalez_enjoy/status/1448481751739686915,2021-10-15
SaKaNa ⚜✝💾🎀,はぁぁぁ面接助けて,https://Twitter.com/FightingNimono_/status/1448480550843416579,2021-10-15
kou@23卒,"やっと面接わかってきた気がする。

話のもって行き方とかなんとなくわかってきた。",https://Twitter.com/ko_nanchatte/status/1448478327564496904,2021-10-15
みん/Curcuma,面接やだよお,https://Twitter.com/M1N_MC5/status/1448472931416240128,2021-10-15
taku,面接は苦手だよ～,https://Twitter.com/takuidle/status/1448469924947525635,2021-10-15
紫,誰かコンサルの第二次面接何聞かれるのか教えてください,https://Twitter.com/nnneeeeu/status/1448466685086691331,2021-10-15
悠,面接がとても嫌なのだ…,https://Twitter.com/yuuriself/status/1448460337418686468,2021-10-15
aon,"一日目終わったあああああああああ！！！！！
これから面接の練習だああああ！！
うまくできるか不安🥺",https://Twitter.com/aon_ooooooo/status/1448459894525345795,2021-10-15
シンシア,"面接嫌だぁぁぁぁぁぁっっ‼︎
（※明日です←）",https://Twitter.com/straydogs630/status/1448450659469053955,2021-10-15
m❤︎.*,面接いやだぁぁぁぁぁぁ,https://Twitter.com/m_chan_5910/status/1448449863742414848,2021-10-15
ますこ,今日面接だ助けてむり,https://Twitter.com/masuko__0332/status/1448444084859727877,2021-10-15
