ユーザーネーム,テキスト,URL,日付
あや,嫌な記事ばっかで就職に不安しかない。,https://Twitter.com/ak_nogi_2011/status/1464889255696601089,2021-11-29
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1464861772012470272,2021-11-29
^_^,就活嫌すぎて誰かに思いっきり甘えたい,https://Twitter.com/kareshiinaiJD/status/1464997386695053317,2021-11-29
貯金,まだ何にも始まっちゃいないけど就活が不安すぎてつらくなってきた,https://Twitter.com/nekoabura_txt/status/1464978536461062147,2021-11-29
프세카계,就活の方がしんどいので無理です...,https://Twitter.com/psk_ummmm/status/1464881173876805633,2021-11-29
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1464769513665474561,2021-11-29
青天井,面接ガチ不安や,https://Twitter.com/Melt_Ris/status/1464998385694351363,2021-11-29
み⚽️,どうしようほんとに面接無理だ,https://Twitter.com/32_tnk/status/1464971528156553216,2021-11-29
トミーマントライン,やばいやばいやばいやばいやばいやばいやばいやばいやばいやばいやばいやってない笑明日死んだガチで面接官来るぞおい！,https://Twitter.com/MANTORAIN/status/1464945674248593420,2021-11-29
初瀬 67th祭7371,面接つら,https://Twitter.com/13_8514/status/1464865455907082240,2021-11-29
