ユーザーネーム,テキスト,URL,日付
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1422326469280231450,2021-08-03
玲@語彙力ない人(´･ω･`),就職の志望動機書くか,https://Twitter.com/reitrain220/status/1422275527570706448,2021-08-03
ﾈﾑﾈﾑ,"高卒で就職ってどうなんだろう？
いいのかなぁ？？
不安だ、、、",https://Twitter.com/nemuu__02/status/1422215130792677378,2021-08-03
うぉるなっと,"まじで、就職先どうしよう…
いいと思ったんだけどな〜",https://Twitter.com/Walnut_R25/status/1422179451337547785,2021-08-03
福沢🐒,就職で悩みすぎてしんどくなってきたなあ,https://Twitter.com/fukuzawa_j/status/1422147927661694980,2021-08-03
案内教の溶き卵,"就職の事考えるとマジしんどい
誰か紹介してくれ",https://Twitter.com/Tamagn_1101/status/1422137190394433537,2021-08-03
いす,就職の方がいいのか、編入した方がいいのかわからん,https://Twitter.com/isuuuu_sit/status/1422126452896460800,2021-08-03
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1422285866513272845,2021-08-03
ふるはる,就活わからんなぁ,https://Twitter.com/Full_Hull_/status/1422246790301032459,2021-08-03
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1422214543799844866,2021-08-03
かにさんん,就活ってむずいわあ,https://Twitter.com/g1yla/status/1422201501108162565,2021-08-03
らぁむg,"やばいやばいやばいあや
就活まで半年しかない！やばい！
やばい！",https://Twitter.com/LMG_pan/status/1422184501896126471,2021-08-03
冷麺,就活無理鬱,https://Twitter.com/u572xz/status/1422161281490898947,2021-08-03
▽うさかめ,就活つらすぎ！！やだ！,https://Twitter.com/sinasen0304/status/1422156626270703619,2021-08-03
キュンキュン,就活ほんとに嫌だ,https://Twitter.com/Ux__xU_U/status/1422152605506015234,2021-08-03
な.mt,就活だるだるなんだが,https://Twitter.com/mtsb119/status/1422143762172633088,2021-08-03
孤独のけんてぃ,誰か就活の仕方わかる？,https://Twitter.com/X7Aak/status/1422137864075157511,2021-08-03
チサ,就活だめすぎてつらい…,https://Twitter.com/chisachi_0125/status/1422131946994290694,2021-08-03
きの日,就活しながら期末はしんどいってことがわかった笑,https://Twitter.com/virgo140830/status/1422130988088369154,2021-08-03
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1422115511756681218,2021-08-03
ホクロック,就活なんもわからん,https://Twitter.com/hokroc24/status/1422111270275194880,2021-08-03
えいようちゃん@22卒,エーン就活つらいよ〜( ᵕ̩̩ㅅᵕ̩̩ ),https://Twitter.com/naiteihoshiii__/status/1422097044433375232,2021-08-03
蟹とシャブ,わからない。就活って、なに？,https://Twitter.com/babuikani3/status/1422045747231399942,2021-08-03
とうふ△ソロキャンプ,にゃんさんの就活めっちゃ進んでるのに自分は全然進んでないのやばい…,https://Twitter.com/Gk1qqMj/status/1422026425176006656,2021-08-03
墓地@22卒nnt,もう就活やだ死にたい,https://Twitter.com/yetcenter/status/1422023370833469444,2021-08-03
シマネ@奇数,ES科（エントリーシート科）,https://Twitter.com/Shimane_genome/status/1422001707228172293,2021-08-03
川滝は暫く低浮上の極み,今日第一志望の面接やばい,https://Twitter.com/kwtk0131/status/1422323203100209163,2021-08-03
ぅぉ 22卒,"おはようございます！
今日面接辛いけど、頑張ります〜！",https://Twitter.com/TxH9MenbpQafui2/status/1422313944534769665,2021-08-03
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1422266029313388546,2021-08-03
俺が従者だ!!,明日面接しんどいなぁ……,https://Twitter.com/RAiNboWRosE___/status/1422262684804796425,2021-08-03
こ＠22卒,明後日面接嫌すぎて死にたい,https://Twitter.com/NuYKZCkju8svrc0/status/1422255573538525185,2021-08-03
ウルトラマンセブン@今年で職場とおさらば確定,面接今考えると色々ボロでてるのが分かって辛い,https://Twitter.com/hitagitti/status/1422178797500059648,2021-08-03
石川桃子,"明日面接だ
すごく不安
まだ履歴書書けてない",https://Twitter.com/JUEICjCwwru4FGn/status/1422178015446900736,2021-08-03
りた🧸,明日面接いやだあ,https://Twitter.com/Rita_0604/status/1422177858768687104,2021-08-03
あまざく,明日一次面接じゃん無理,https://Twitter.com/aMAOU_Zakk/status/1422169005826068485,2021-08-03
スンドゥブ22卒,明日の最終面接落ちちゃったらどうしようっていう不安で泣いた,https://Twitter.com/s5MRhEzYreTpR9o/status/1422158574629707777,2021-08-03
ミニ@フォロバする,面接練習ほんとにやだわー,https://Twitter.com/_mini_Cr/status/1422157341470777347,2021-08-03
