ユーザーネーム,テキスト,URL,日付
公務員試験に苦しむ小悪魔bot,正直、面接の何がダメだったのかわからないの。,https://Twitter.com/komuin_fail_koa/status/1422142382766583811,2021-08-03
ﾅﾅﾁｬﾝ@22卒NNT,面接やだよーーーーーー🥲,https://Twitter.com/tsuraichan00/status/1422142351175151621,2021-08-03
ね,面接練習嫌すぎ,https://Twitter.com/nmnm_1013/status/1422141626340700163,2021-08-03
な@22卒NNT,面接嫌すぎて永遠逃げてる,https://Twitter.com/neetdwmpt40/status/1422135447807881219,2021-08-03
きりあ,明後日面接！？！？？無理です,https://Twitter.com/KiLiA319/status/1422133958360244225,2021-08-03
りっか,やっぱり面接は苦手だ💦,https://Twitter.com/rikka_arcs7/status/1422129382752088064,2021-08-03
をぐたろう🐈,明日面接嫌だな,https://Twitter.com/wogu__/status/1422110818750013441,2021-08-03
でこひろし（呪い持ち）,既に面接無理すぎて死にそ,https://Twitter.com/hage_tarosu1gou/status/1422110758075207682,2021-08-03
なる@21卒NNT,もう1社の一次面接も落ちてた、、つら,https://Twitter.com/nntdesu/status/1422105103260000262,2021-08-03
𝙽𝚊𝚗𝚊❦,今日はひたすら面接対策しようかなー,https://Twitter.com/___nana8910/status/1422084060311023617,2021-08-03
ゆきぽん@ドール,面接の逆質問下手すぎてしんどい,https://Twitter.com/yukipon_doll/status/1422077726102495234,2021-08-03
あもに,面接やだなぁあ,https://Twitter.com/amoni_375/status/1422067069089026048,2021-08-03
ゆらん,面接ほど無理なものないんだけど( ),https://Twitter.com/yuran63_/status/1422064170665533444,2021-08-03
ばるす,1日で20人面接はしんどいお,https://Twitter.com/Bals_sub/status/1422055991483400192,2021-08-03
ぽちゃ,"面接行きたくない
14時までもう少ししんどいしんどい
誰にも相談出来んてつらいね🥲",https://Twitter.com/ochibi_12/status/1422041467107774468,2021-08-03
１００日後に体が引き締まるカエル,"1時から面接だー😭
だるだるだるだるだる",https://Twitter.com/Takkun59109752/status/1422036688314920963,2021-08-03
文構の男,あああああ面接難しい,https://Twitter.com/eMvxSSBOt2IF1VA/status/1422028919104892934,2021-08-03
ひな猫,"やだやだ〜(:3_ヽ)_
面接やだ〜(:3_ヽ)_",https://Twitter.com/hina0896/status/1422026075719098370,2021-08-03
ふく,面接ようわからん,https://Twitter.com/tsuboutsuboo/status/1422020581357088769,2021-08-03
ゐ,面接だあ〜！！！！！！！嫌,https://Twitter.com/e___normal/status/1422016725021642753,2021-08-03
雑魚20卒,"面接嫌だな
志望動機今だに思いつかんし",https://Twitter.com/oMoFvWLQmXzv4YD/status/1422012523616772098,2021-08-03
峲玻,面接練習おわーーしんどい,https://Twitter.com/Rihazuyu/status/1422011875139620864,2021-08-03
短期決戦の鬼🐯椎名ましろ@ギリ健,オンライン面接だるだるだる,https://Twitter.com/MashiroShii_na/status/1422008909800169477,2021-08-03
🄵🅄🄺🄰,面接練習無理〜〜〜怖いよ〜〜〜,https://Twitter.com/U0x0U_1102/status/1422004489049964545,2021-08-03
ねずみ,"助けて(´ᵒ̴̶̷᷄ᾥᵒ̴̶̷᷅ ｀)
面接怖いわ〜〜〜〜〜〜",https://Twitter.com/Neee_zumi/status/1421995229981380608,2021-08-03
ソーダ,俺のインターン先まじでいたれりつくせり。いいんですか？,https://Twitter.com/6833koji_tpopeb/status/1422343713821401101,2021-08-03
ぴっぴ@💎,(でもレッツインターンはやだw),https://Twitter.com/pippi012206/status/1422225601847447560,2021-08-03
しおり@23卒,インターン応募しんどみ,https://Twitter.com/p6tBrvDlnWiB1mx/status/1422184028149456902,2021-08-03
すぅ,インターンきついなあ,https://Twitter.com/REf0w/status/1422062065636634629,2021-08-03
遊,学会、、、、、、、、つら、、、、、インターンのESもつらいのに、、、、、,https://Twitter.com/00__playing__00/status/1422059862754615301,2021-08-03
もも @23卒,インターンのES1枚も通らなくて泣きそう,https://Twitter.com/Ek2Ob3/status/1422038178286825473,2021-08-03
