ユーザーネーム,テキスト,URL,日付
菜奈,"明日、面接だ……。
どうしよう、どうしよう、面接苦手…。
誰か、面接の極意を教えてください…。",https://Twitter.com/nana_S37/status/1431161698283520002,2021-08-28
めくめく🐺,面接練習しんどw,https://Twitter.com/new_meku_meku/status/1431154006823346181,2021-08-28
ごーた@,面接、まじでむずい,https://Twitter.com/GotA_akaike/status/1431140845256724481,2021-08-28
ゆき❄️⛄️,"面接練習難しすぎるwww
でも頑張ろう！",https://Twitter.com/yuki_air7/status/1431131326237663235,2021-08-28
山賊おにぎりの絵垢プラス趣味とか（永enn教）,"面接練習無理なんだが
これからなんだが！？",https://Twitter.com/sanzokuonigirie/status/1431128588900700161,2021-08-28
うさこ,面接やだがんばれやだがんばれやだやだやだがんばれ,https://Twitter.com/usakoo__/status/1431126940002381831,2021-08-28
MONO,わたくしマジで面接が苦手なのが分かりましてよ✨,https://Twitter.com/MONO96974555/status/1431125687956504578,2021-08-28
松本で〜す,面接苦手,https://Twitter.com/ma_472155/status/1431124321699729412,2021-08-28
インテグラル有,面接無理すぎるしんどいwwwwwwwwwwww,https://Twitter.com/sw_lfg/status/1431120698664128515,2021-08-28
okupon,面接嫌だ面接嫌だ,https://Twitter.com/omaenosekineka/status/1431120314042236931,2021-08-28
いろは•ﻌ•次男の財布🐯💛🧡💚🍊,"ダメだ面接…もうしんどい…
自信なさすぎてやばい…",https://Twitter.com/MarchHare11/status/1431111486621978627,2021-08-28
ゆづみぃ🐶🍎🦁@騎士A24時間リレー生放送視聴中,"面接終わったああああああ

やばいいい",https://Twitter.com/yudukiki_ryohei/status/1431106465981366272,2021-08-28
☣️らむね☣️,面接やだな,https://Twitter.com/Cliy0/status/1431091412536160257,2021-08-28
ポポ,面接練習しんどーーー,https://Twitter.com/popox17/status/1431085559355568129,2021-08-28
ぷー✨,"6日に面接行って来る🥺

不安すぎる😭",https://Twitter.com/IwaHika1734/status/1431082963018543104,2021-08-28
なぽりたん,面接練習いやすぎてじたばたしてるやだやだやだやだ,https://Twitter.com/929_naporitan/status/1431081991852605441,2021-08-28
ｵﾐ,そもそも面接が一番嫌,https://Twitter.com/ObamitsuHappy/status/1431049294405005315,2021-08-28
@totorte,面接が嫌で嫌で嫌でしかたない,https://Twitter.com/totorte/status/1431046186492862467,2021-08-28
ぶらっくてぃー,インターン嫌すぎる,https://Twitter.com/HCdNyiLuh9snNh9/status/1431282914923147267,2021-08-28
( 'ω'),インターンつらい...,https://Twitter.com/SeaEnv/status/1431194848627888132,2021-08-28
じゅん,午後のノンストップインターンに不安しかない,https://Twitter.com/ju_krbs/status/1431098145434263552,2021-08-28
よもぎ,"今日は1ヶ月ぶりインターン、、、
しんどいな",https://Twitter.com/_yomogi_KP/status/1431047988336488454,2021-08-28
