ユーザーネーム,テキスト,URL,日付
てんてん。,誰か理論物理系の就職先教えてください,https://Twitter.com/ten10_sora/status/1431312403409473539,2021-08-28
𝚂𝙰𝚈𝙰🧸,"就職の履歴書って何書いたらいいの?!
誰か助けて
自己PRとかどうしたらいいの?!",https://Twitter.com/saya_st_6/status/1431307074936311811,2021-08-28
Mimi@くしゃ民,"もう何もかも不安すぎて寝れる気がしない…。
就職って何(  ᷇࿀ ᷆ )
将来って何(ᯅ̈ )",https://Twitter.com/pokemon_resin/status/1431297679384985604,2021-08-28
食欲大魔神ごんたそ,わかるめちゃめちゃわかる就職無理なのでヒモになりたい,https://Twitter.com/argongasukidesu/status/1431198524180287490,2021-08-28
りおか,就職試験の論文で○年後のあなたみたいなの書かされるんやけどそんなん考えたら病むわ,https://Twitter.com/kanapi_man5551/status/1431182370921537552,2021-08-28
やさいさん,就職ここでいいや,https://Twitter.com/yasaisanS/status/1431177407050878979,2021-08-28
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1431160193400795136,2021-08-28
ゆっき,次の就職先見つかるかも不安だ,https://Twitter.com/kiri_to_i_yk/status/1431126221413249024,2021-08-28
らーてすか,"バイトはいいけど就職は無理
絶対無理断固無理死んでも無理🙄",https://Twitter.com/mokmok_ru/status/1431082025985863683,2021-08-28
luna,インターン色々調べてるけど、どれがいいか全くわからん、就職不安すぎる,https://Twitter.com/jinbeizame01/status/1431055277516750855,2021-08-28
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1431368165301186562,2021-08-28
ﾅﾂﾒ(ﾀｸﾐ),就活不安期がまた来た,https://Twitter.com/tkm_313/status/1431316972419969025,2021-08-28
ジョン店長：ガンダムUC動画企画稼働中,辛いぜ…就活,https://Twitter.com/JohnisRockexe/status/1431297161216421892,2021-08-28
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1431296018348331009,2021-08-28
さ,来年就活とか無理すぎる,https://Twitter.com/Senzo_tatibana/status/1431262885339013126,2021-08-28
輝夜雪海🖥️🐹💞🦩,"私が真に考えるべきは今後の就活である

つら",https://Twitter.com/yukiminokaguya/status/1431244691756896257,2021-08-28
りお,就活やだなぁ、、、,https://Twitter.com/ennda_r/status/1431228732363083777,2021-08-28
takumi H bot,就活やだなーww,https://Twitter.com/takumi__h__bot/status/1431208382979969024,2021-08-28
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1431206297391677452,2021-08-28
ぴょん,まじ就活向いてなさすぎて病む,https://Twitter.com/tl_pld/status/1431203363350188032,2021-08-28
りむ,就活しなきゃな〜、、やだな〜、、,https://Twitter.com/xxxxx___157/status/1431198588655132676,2021-08-28
巡査,就活難しい,https://Twitter.com/APTX1107/status/1431185420289642499,2021-08-28
チロコ,就活辛すぎて病みそう🙄,https://Twitter.com/chiroko43_cat/status/1431147297463693312,2021-08-28
ƾ兯ゎƕ 22卒,ES書くのが就活の中で一番嫌いかも,https://Twitter.com/arkK6XinBb9wL8d/status/1431117124643160068,2021-08-28
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1431370956916727809,2021-08-28
かい,"エントリーシート書けた😞
文章書くのホント苦手",https://Twitter.com/smt_k24/status/1431274020742205442,2021-08-28
みたに,エントリーシート書くのしんどい,https://Twitter.com/ao0306gs/status/1431233417811664898,2021-08-28
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1431295520920649728,2021-08-28
くうはく,面接もやばいね～,https://Twitter.com/no_name_no_li/status/1431286708885090309,2021-08-28
かいと,面接絶対やばい,https://Twitter.com/my_xxy731/status/1431279874388332548,2021-08-28
復活の鍋,まって日曜面接とかマジ無理やだーーーー！！！！！！！！！！！！,https://Twitter.com/srkb_8/status/1431272955221188608,2021-08-28
アリカ^在処/ARIKA,"しんどい
面接嫌だなｧ",https://Twitter.com/yamikira1999/status/1431250624188805122,2021-08-28
優花,面接って難しい...,https://Twitter.com/Yuuka_blanche/status/1431247540859461638,2021-08-28
一ノ瀬,進学の面接かなり嫌で怖いから誰かはげましてくれ〜😢,https://Twitter.com/Ichino_seee/status/1431240100772388873,2021-08-28
まるゆ,明日面接無理,https://Twitter.com/maruyu_2026/status/1431234740749627395,2021-08-28
おもち@転職活動中,"面接のいいところは求人票からはわからない内情がわかるとこ
志望度も変わってくるな",https://Twitter.com/omochi_se/status/1431219754535063557,2021-08-28
Masasa@LiSAっ子,今日面接練習だったんだけどなんにも考えて無さすぎてめっちゃやばかったww,https://Twitter.com/LiSA02147271/status/1431198644699500547,2021-08-28
ｻﾌﾞﾛｳ🍅,面接やばい,https://Twitter.com/kuronik_pomu/status/1431195081248153602,2021-08-28
きんぐ,誰か私にリモート面接教えてくれ,https://Twitter.com/King55343972/status/1431181908633739267,2021-08-28
しょうゆ,やばい、もう既に面接組んだ私やばい😂絶対、精神的にやばい😂,https://Twitter.com/JofLJoiCfTTNdTT/status/1431180831901421570,2021-08-28
トロントの球団,面接やだねぇ,https://Twitter.com/ja12l5JT8jSgMCM/status/1431178340275154948,2021-08-28
