ユーザーネーム,テキスト,URL,日付
ホッケ,"来週から就職なんだけど大丈夫かな
不安や",https://Twitter.com/hokke_ssnj/status/1456705916342915078,2021-11-06
さっしー,"就職どうしようか。
どっちがいいのかなー",https://Twitter.com/sass_y0113/status/1456611334586466313,2021-11-06
estis,就職、もしかして無理？,https://Twitter.com/estis_jk/status/1456608038031220742,2021-11-06
gaton,就職できるか不安すぎる,https://Twitter.com/gtn341/status/1456605609415954438,2021-11-06
みお,はあまた出ました就職就職先ってもうわかってんのよこっち焦ってるわ,https://Twitter.com/Komukomu68/status/1456605058456457225,2021-11-06
紗月,養護教諭は就職めっちゃ難しそう,https://Twitter.com/orion0639/status/1456593520936947721,2021-11-06
ナちゃん,ファン投票書くのに何時間費やせばいいんだよこれ、、、就職の履歴書書く何倍も難しいじゃねえか、、、、、、、、,https://Twitter.com/kyomocyan3/status/1456568753261481989,2021-11-06
EᗩYᑌᑌ(エアユウ),就職とかも無理そう。,https://Twitter.com/easama007/status/1456527419880316932,2021-11-06
ゆっきーは被験者ゼミ生,どうやったら就職できるのか分からない,https://Twitter.com/toriyukki0502/status/1456495315255656451,2021-11-06
就活戦士ガンダムbot,"就職って...難しいね
（ユリン・ルシェル）",https://Twitter.com/syukatu_gundam/status/1456481549818363908,2021-11-06
平成初期のギャル,えどうしよう就職できない,https://Twitter.com/567567__3/status/1456465144024764417,2021-11-06
渦のまれの七三,就職むちゃくちゃ不安。,https://Twitter.com/whirlpoolhelix/status/1456465011031695371,2021-11-06
紫夜☯️タルパー🔯,"将来何をしたらいいんだろう
就職ってどないやねんと
悩み悩み
ぐぬぬ( ´ᾥ` )",https://Twitter.com/tlpa_Shiya/status/1456458589032173568,2021-11-06
リネ,就職できるのか不安,https://Twitter.com/ametoasari/status/1456445844194947072,2021-11-06
Sulfur,コロナで就職できるか不安だ,https://Twitter.com/sulfur56089136/status/1456419591861669908,2021-11-06
muchobirupan,就活のストレスで悩み続けて10ヶ月。どうすればいいかわからない。,https://Twitter.com/muchobirupan/status/1456753760835801097,2021-11-06
satoko＠23卒,分かってたつもりだけど案外自分のこと分かってなかった。 #23卒 #就活,https://Twitter.com/Satokosto/status/1456737683749974023,2021-11-06
三出,就活嫌だよ〜〜〜,https://Twitter.com/mandetosande/status/1456646190389415936,2021-11-06
柚子,就活前に教えて？？？？？,https://Twitter.com/yuzutamuki/status/1456640161626800133,2021-11-06
明るく生きる子,就活やだ🤧,https://Twitter.com/tenebris_vita/status/1456632596218060807,2021-11-06
てっと,就活つらーーーーーい,https://Twitter.com/nishi__411/status/1456604350722183168,2021-11-06
福祉系大学生/まいたん,"就活で悩んでいます。

でも誰に相談したらいいのか、わかりません…",https://Twitter.com/swrfuture/status/1456593366351695876,2021-11-06
コミュ障botさん,（´-`）.｡oO（就活嫌だな…),https://Twitter.com/komyu_bot/status/1456561639885459457,2021-11-06
WARAVI🐣,就活って難しい,https://Twitter.com/waravi_da4/status/1456558454793850880,2021-11-06
なおみん♡,就活いやや...,https://Twitter.com/pop_and_sweet/status/1456558378767900679,2021-11-06
193,"#就活
辛い",https://Twitter.com/193gyudonsuko/status/1456556736207208453,2021-11-06
rnikü,就活するほど将来が不安になって辛い,https://Twitter.com/rniku_tam/status/1456540152663183369,2021-11-06
おきなわ,就活難しっ…,https://Twitter.com/oonoooo12/status/1456535392602099715,2021-11-06
ゆうき/Yuki,就活しんど,https://Twitter.com/Yuki_Yuki1219/status/1456534322014416899,2021-11-06
なぽ,就活してるはずなのにESを書いたことがないらしい,https://Twitter.com/napo_durmiendo/status/1456533452342247424,2021-11-06
みなみ🍆,"待ってやだやだやだ
このまま就活終わるまで会えないのやだ辛すぎる",https://Twitter.com/lgm_ntm7/status/1456522164878807040,2021-11-06
なべすん,もう就活は嫌です…,https://Twitter.com/w_n_s_0118/status/1456520351903412226,2021-11-06
のし,就活に病んだら始めます,https://Twitter.com/blacktip_mgmn/status/1456517453664559107,2021-11-06
鶏,就活やだな〜死にたい,https://Twitter.com/onerike_/status/1456482326955716608,2021-11-06
🦋,就活、何から手をつけていいのか分からなくて病んでる,https://Twitter.com/lune__mer/status/1456476516024389643,2021-11-06
くどー,やだやだやだ就活したくない〜,https://Twitter.com/kdkuragaaa/status/1456472875603427329,2021-11-06
歌,就活マジで嫌です,https://Twitter.com/Uta_See/status/1456466297181519876,2021-11-06
りん23卒,今日も今日とて ES  #23卒 #就活,https://Twitter.com/rinno23dayo/status/1456440704373338126,2021-11-06
まり,就活辛いー,https://Twitter.com/jtmjdjgt/status/1456434573810622466,2021-11-06
えりんぎ@23卒,面接不安だなぁ、 #23卒 #就活,https://Twitter.com/eringi14/status/1456428652875354120,2021-11-06
★4月内定★裏ワザ就活★メロン,"ESは、書くものではなく、出すもの！
(`･ω･´)

悩んでないでエントリーシートは早く出す！",https://Twitter.com/saranarutakamim/status/1456443640503361544,2021-11-06
さがわ ともや,はあ。もう全然面接落ちたやだやだ,https://Twitter.com/__Uo_qU__/status/1456661374361223168,2021-11-06
こたを,面接いやだぁぁぁぁ,https://Twitter.com/Cairo09life/status/1456641747635765249,2021-11-06
れの,明後日面接しんどい,https://Twitter.com/0___no/status/1456639619940839426,2021-11-06
eh(ｴﾊ),"面接一番嫌なんだけど
たった十分で人の何が分かるん",https://Twitter.com/eh_kars/status/1456617824885960710,2021-11-06
シオ･コショウ=🧂,志望動機これでいいのかわからん無理〜〜〜！面接にいい思い出ねえよ！,https://Twitter.com/mix865/status/1456616432347729927,2021-11-06
あめのこ,"明日面接、
やばいー",https://Twitter.com/_862asb/status/1456612214454964226,2021-11-06
ひとはと思われるもの,面接無理やろ…これ,https://Twitter.com/hitoha_Nichijyo/status/1456604119104253952,2021-11-06
mocchan,明日面接なのにマリパやっちゃった誰か助けて,https://Twitter.com/0921yukayuka/status/1456581113464254467,2021-11-06
トカゲ@最強パシィカン,どっちでもいいから早く面接の結果ほしいな,https://Twitter.com/zenkimi_DEMPA/status/1456575311261233155,2021-11-06
推薦入試あるある,"面接って

結局何したらいいか

わからない。",https://Twitter.com/sr4454/status/1456564523091988488,2021-11-06
しかの,面接苦手すぎる,https://Twitter.com/shika_no/status/1456558430785716231,2021-11-06
おさしみ大根,面接練習ガチしんどい,https://Twitter.com/osasimimjryx/status/1456548994205700099,2021-11-06
やすやす,面接むずいなーw,https://Twitter.com/yazuyazu1121/status/1456535292798595072,2021-11-06
ぽむ,面接練習全然受け答えできなくてつらすぎた,https://Twitter.com/pommm07/status/1456526977330860035,2021-11-06
oshihen_now,面接やだ,https://Twitter.com/memenabe___to/status/1456524150382624774,2021-11-06
虚弱,はあなんだかなほかも面接するか悩むけどめんどいんよなあ,https://Twitter.com/karadayowaii/status/1456523732378210307,2021-11-06
もすにふ@きゃうと,一次面接もわかんないけど、最終面接もわかんないよーーー,https://Twitter.com/askuubtei/status/1456517446295166979,2021-11-06
黒羽@低浮上,面接めっちゃ辛かった,https://Twitter.com/URisorsa/status/1456517136382263297,2021-11-06
めんま,面接対策考えてたけど、長所と短所が1番思いつかん…難しい…,https://Twitter.com/poke__enjoy/status/1456516789773357057,2021-11-06
ひいのくん。,面接の文章訳が分からない,https://Twitter.com/fgZutBzVNNDUc0Q/status/1456509453084217348,2021-11-06
松本で〜す,面接苦手,https://Twitter.com/ma_472155/status/1456491338183053315,2021-11-06
篠山,"面接対策辛すぎて辛い
毎日あるからなおさらつらい",https://Twitter.com/ryudoberi_c/status/1456490656646328322,2021-11-06
ミカゑはありす㌧大好き,面接がほんまに嫌いすぎて始まる前は無理無理無理無理ぃと思ってる,https://Twitter.com/mmmikae/status/1456488555904073729,2021-11-06
なり,ああああああ面接いやややややや,https://Twitter.com/823__imnryk/status/1456486606228000768,2021-11-06
魔境に住むにゃむ(猫夢),やばい死ぬ。面接無理。死ぬ。,https://Twitter.com/26_mu_00/status/1456472041259868167,2021-11-06
たそまる🍇@ポンコツ無職,明日面接でしんどすぎてやばい…,https://Twitter.com/tpHrtt2bED3fvn7/status/1456459350252273664,2021-11-06
ここみね,面接何がいけないのかわからん,https://Twitter.com/KKMNopqr/status/1456439436523163648,2021-11-06
らぶせら,面接表書けん,https://Twitter.com/sabusera/status/1456420049577644033,2021-11-06
📛,インターンしんどいつらい,https://Twitter.com/Seina_Starphase/status/1456493944057987073,2021-11-06
